年,性別,年齢,旧,新,確率
2015-20,1,5,17,23,0.0925
2015-20,1,5,21,23,0
2015-20,1,5,22,23,0.7419
2015-20,1,5,23,23,0.9538
2015-20,1,5,25,23,0
2015-20,1,5,27,23,0
2015-20,1,5,31,23,0.258
2015-20,1,5,34,23,0
2015-20,1,5,35,23,0
2015-20,1,5,37,23,0.4082
2015-20,1,5,99,23,0
2015-20,1,6,11,23,0.1394
2015-20,1,6,15,23,0
2015-20,1,6,17,23,0.1538
2015-20,1,6,21,23,0
2015-20,1,6,22,23,0.7424
2015-20,1,6,23,23,0.9545
2015-20,1,6,25,23,0
2015-20,1,6,27,23,0.3224
2015-20,1,6,31,23,0.2572
2015-20,1,6,34,23,0
2015-20,1,6,35,23,0
2015-20,1,6,37,23,0.4069
2015-20,1,6,99,23,0
2015-20,1,7,11,23,0.076
2015-20,1,7,15,23,0
2015-20,1,7,17,23,0.0825
2015-20,1,7,21,23,0
2015-20,1,7,22,23,0.7125
2015-20,1,7,23,23,0.944
2015-20,1,7,25,23,0.1565
2015-20,1,7,27,23,0.0757
2015-20,1,7,31,23,0.2404
2015-20,1,7,34,23,0
2015-20,1,7,35,23,0
2015-20,1,7,37,23,0.3803
2015-20,1,7,99,23,0
2015-20,1,8,11,23,0.0689
2015-20,1,8,15,23,0
2015-20,1,8,17,23,0.076
2015-20,1,8,21,23,0
2015-20,1,8,22,23,0.5103
2015-20,1,8,23,23,0.8792
2015-20,1,8,25,23,0.1526
2015-20,1,8,27,23,0.0578
2015-20,1,8,31,23,0.1927
2015-20,1,8,34,23,0
2015-20,1,8,35,23,0
2015-20,1,8,37,23,0.3048
2015-20,1,8,99,23,0
2015-20,1,4,11,25,0
2015-20,1,4,15,25,0.0394
2015-20,1,4,17,25,0.0009
2015-20,1,4,21,25,0
2015-20,1,4,22,25,0
2015-20,1,4,23,25,0
2015-20,1,4,25,25,0.954
2015-20,1,4,27,25,0
2015-20,1,4,31,25,0.0501
2015-20,1,4,34,25,0
2015-20,1,4,35,25,0
2015-20,1,4,37,25,0.1097
2015-20,1,4,99,25,0
2015-20,1,5,11,25,0.0022
2015-20,1,5,15,25,0.1974
2015-20,1,5,17,25,0.0026
2015-20,1,5,21,25,0
2015-20,1,5,22,25,0
2015-20,1,5,23,25,0
2015-20,1,5,25,25,0.9538
2015-20,1,5,27,25,0
2015-20,1,5,31,25,0.0573
2015-20,1,5,34,25,0
2015-20,1,5,35,25,0
2015-20,1,5,37,25,0.1256
2015-20,1,5,99,25,0
2015-20,1,6,11,25,0
2015-20,1,6,15,25,0.3178
2015-20,1,6,17,25,0.0096
2015-20,1,6,21,25,0
2015-20,1,6,22,25,0
2015-20,1,6,23,25,0
2015-20,1,6,25,25,0.9545
2015-20,1,6,27,25,0
2015-20,1,6,31,25,0.0572
2015-20,1,6,34,25,0
2015-20,1,6,35,25,0
2015-20,1,6,37,25,0.1252
2015-20,1,6,99,25,0
2015-20,1,7,11,25,0
2015-20,1,7,15,25,0.2304
2015-20,1,7,17,25,0.0074
2015-20,1,7,21,25,0
2015-20,1,7,22,25,0
2015-20,1,7,23,25,0.0096
2015-20,1,7,25,25,0.7971
2015-20,1,7,27,25,0.0757
2015-20,1,7,31,25,0.0534
2015-20,1,7,34,25,0
2015-20,1,7,35,25,0
2015-20,1,7,37,25,0.117
2015-20,1,7,99,25,0
2015-20,1,8,11,25,0
2015-20,1,8,15,25,0.1572
2015-20,1,8,17,25,0.0051
2015-20,1,8,21,25,0
2015-20,1,8,22,25,0.0114
2015-20,1,8,23,25,0.017
2015-20,1,8,25,25,0.8011
2015-20,1,8,27,25,0.0578
2015-20,1,8,31,25,0.0428
2015-20,1,8,34,25,0
2015-20,1,8,35,25,0
2015-20,1,8,37,25,0.0938
2015-20,1,8,99,25,0
2015-20,1,4,11,27,0.0024
2015-20,1,4,15,27,0
2015-20,1,4,17,27,0.0078
2015-20,1,4,21,27,0
2015-20,1,4,22,27,0
2015-20,1,4,23,27,0
2015-20,1,4,25,27,0
2015-20,1,4,27,27,0.954
2015-20,1,4,31,27,0
2015-20,1,4,34,27,0
2015-20,1,4,35,27,0
2015-20,1,4,37,27,0.0274
2015-20,1,4,99,27,0
2015-20,1,5,11,27,0.0013
2015-20,1,5,15,27,0
2015-20,1,5,17,27,0.0155
2015-20,1,5,21,27,0
2015-20,1,5,22,27,0
2015-20,1,5,23,27,0
2015-20,1,5,25,27,0
2015-20,1,5,27,27,0.9538
2015-20,1,5,31,27,0
2015-20,1,5,34,27,0
2015-20,1,5,35,27,0
2015-20,1,5,37,27,0.0314
2015-20,1,5,99,27,0
2015-20,1,6,11,27,0.0114
2015-20,1,6,15,27,0
2015-20,1,6,17,27,0.0343
2015-20,1,6,21,27,0
2015-20,1,6,22,27,0
2015-20,1,6,23,27,0
2015-20,1,6,25,27,0
2015-20,1,6,27,27,0.6274
2015-20,1,6,31,27,0
2015-20,1,6,34,27,0
2015-20,1,6,35,27,0
2015-20,1,6,37,27,0.0313
2015-20,1,6,99,27,0
2015-20,1,7,11,27,0.0131
2015-20,1,7,15,27,0
2015-20,1,7,17,27,0.0293
2015-20,1,7,21,27,0
2015-20,1,7,22,27,0
2015-20,1,7,23,27,0
2015-20,1,7,25,27,0
2015-20,1,7,27,27,0.7265
2015-20,1,7,31,27,0
2015-20,1,7,34,27,0
2015-20,1,7,35,27,0
2015-20,1,7,37,27,0.0293
2015-20,1,7,99,27,0
2015-20,1,8,11,27,0.0097
2015-20,1,8,15,27,0
2015-20,1,8,17,27,0.021
2015-20,1,8,21,27,0
2015-20,1,8,22,27,0
2015-20,1,8,23,27,0
2015-20,1,8,25,27,0
