年,性別,年齢,旧,新,確率
2015-16,2,5,99,37,0.0
2015-16,2,5,99,99,1.0
2015-16,2,6,11,22,0.0
2015-16,2,6,11,23,0.0
2015-16,2,6,11,25,0.0
2015-16,2,6,11,24,0.0
2015-16,2,6,11,21,0.0
2015-16,2,6,11,27,0.0283
2015-16,2,6,11,26,0.3923
2015-16,2,6,11,15,0.0
2015-16,2,6,11,11,0.3118
2015-16,2,6,11,17,0.2486
2015-16,2,6,11,35,0.0
2015-16,2,6,11,34,0.0084
2015-16,2,6,11,31,0.0089
2015-16,2,6,11,37,0.0
2015-16,2,6,11,99,0.0017
2015-16,2,6,15,22,0.0
2015-16,2,6,15,23,0.0
2015-16,2,6,15,25,0.0
2015-16,2,6,15,24,0.0
2015-16,2,6,15,21,0.0
2015-16,2,6,15,27,0.0
2015-16,2,6,15,26,0.4206
2015-16,2,6,15,15,0.482
2015-16,2,6,15,11,0.0783
2015-16,2,6,15,17,0.0
2015-16,2,6,15,35,0.0173
2015-16,2,6,15,34,0.0
2015-16,2,6,15,31,0.0
2015-16,2,6,15,37,0.0
2015-16,2,6,15,99,0.0017
2015-16,2,6,17,22,0.0
2015-16,2,6,17,23,0.0
2015-16,2,6,17,25,0.0
2015-16,2,6,17,24,0.0156
2015-16,2,6,17,21,0.0045
2015-16,2,6,17,27,0.0458
2015-16,2,6,17,26,0.3547
2015-16,2,6,17,15,0.0
2015-16,2,6,17,11,0.1421
2015-16,2,6,17,17,0.4182
2015-16,2,6,17,35,0.0027
2015-16,2,6,17,34,0.0058
2015-16,2,6,17,31,0.0
2015-16,2,6,17,37,0.0089
2015-16,2,6,17,99,0.0017
2015-16,2,6,21,22,0.0
2015-16,2,6,21,23,0.0
2015-16,2,6,21,25,0.0
2015-16,2,6,21,24,0.0
2015-16,2,6,21,21,0.8899
2015-16,2,6,21,27,0.0
2015-16,2,6,21,26,0.0
2015-16,2,6,21,15,0.0
2015-16,2,6,21,11,0.0
2015-16,2,6,21,17,0.0
2015-16,2,6,21,35,0.0
2015-16,2,6,21,34,0.0
2015-16,2,6,21,31,0.1091
2015-16,2,6,21,37,0.0
2015-16,2,6,21,99,0.001
2015-16,2,6,24,22,0.0
2015-16,2,6,24,23,0.0
2015-16,2,6,24,25,0.0
2015-16,2,6,24,24,0.8899
2015-16,2,6,24,21,0.0
2015-16,2,6,24,27,0.0
2015-16,2,6,24,26,0.0
2015-16,2,6,24,15,0.0
2015-16,2,6,24,11,0.0
2015-16,2,6,24,17,0.0
2015-16,2,6,24,35,0.0
2015-16,2,6,24,34,0.1091
2015-16,2,6,24,31,0.0
2015-16,2,6,24,37,0.0
2015-16,2,6,24,99,0.001
2015-16,2,6,26,22,0.0
2015-16,2,6,26,23,0.0
2015-16,2,6,26,25,0.0
2015-16,2,6,26,24,0.0
2015-16,2,6,26,21,0.0
2015-16,2,6,26,27,0.0
2015-16,2,6,26,26,0.8899
2015-16,2,6,26,15,0.0
2015-16,2,6,26,11,0.0
2015-16,2,6,26,17,0.0
2015-16,2,6,26,35,0.0
2015-16,2,6,26,34,0.0728
2015-16,2,6,26,31,0.0182
2015-16,2,6,26,37,0.0182
2015-16,2,6,26,99,0.001
2015-16,2,6,27,22,0.0
2015-16,2,6,27,23,0.0
2015-16,2,6,27,25,0.0
2015-16,2,6,27,24,0.0
2015-16,2,6,27,21,0.0
2015-16,2,6,27,27,0.5663
2015-16,2,6,27,26,0.3236
2015-16,2,6,27,15,0.0
2015-16,2,6,27,11,0.0
2015-16,2,6,27,17,0.0
2015-16,2,6,27,35,0.0
2015-16,2,6,27,34,0.0
2015-16,2,6,27,31,0.0
2015-16,2,6,27,37,0.1091
2015-16,2,6,27,99,0.001
2015-16,2,6,31,22,0.0
2015-16,2,6,31,23,0.0
2015-16,2,6,31,25,0.0
2015-16,2,6,31,24,0.0
2015-16,2,6,31,21,0.0
2015-16,2,6,31,27,0.0
2015-16,2,6,31,26,0.4937
2015-16,2,6,31,15,0.0
2015-16,2,6,31,11,0.0
2015-16,2,6,31,17,0.0
2015-16,2,6,31,35,0.0
2015-16,2,6,31,34,0.0
2015-16,2,6,31,31,0.0
2015-16,2,6,31,37,0.5024
2015-16,2,6,31,99,0.0039
2015-16,2,6,34,22,0.0
2015-16,2,6,34,23,0.0
2015-16,2,6,34,25,0.0
2015-16,2,6,34,24,0.0
2015-16,2,6,34,21,0.0
2015-16,2,6,34,27,0.0
2015-16,2,6,34,26,0.4937
2015-16,2,6,34,15,0.0
2015-16,2,6,34,11,0.0
2015-16,2,6,34,17,0.0
2015-16,2,6,34,35,0.0
2015-16,2,6,34,34,0.5024
2015-16,2,6,34,31,0.0
2015-16,2,6,34,37,0.0
2015-16,2,6,34,99,0.0039
2015-16,2,6,35,22,0.0
2015-16,2,6,35,23,0.0
2015-16,2,6,35,25,0.0
2015-16,2,6,35,24,0.0
2015-16,2,6,35,21,0.0
2015-16,2,6,35,27,0.0
2015-16,2,6,35,26,0.4937
2015-16,2,6,35,15,0.0
2015-16,2,6,35,11,0.0
2015-16,2,6,35,17,0.0
2015-16,2,6,35,35,0.3517
2015-16,2,6,35,34,0.0502
2015-16,2,6,35,31,0.0502
2015-16,2,6,35,37,0.0502
2015-16,2,6,35,99,0.0039
2015-16,2,6,37,22,0.0
2015-16,2,6,37,23,0.0
2015-16,2,6,37,25,0.0
2015-16,2,6,37,24,0.0
2015-16,2,6,37,21,0.0
2015-16,2,6,37,27,0.0
2015-16,2,6,37,26,0.4937
2015-16,2,6,37,15,0.0
2015-16,2,6,37,11,0.0
2015-16,2,6,37,17,0.0
2015-16,2,6,37,35,0.0
2015-16,2,6,37,34,0.0
2015-16,2,6,37,31,0.0
2015-16,2,6,37,37,0.5024
2015-16,2,6,37,99,0.0039
2015-16,2,6,99,22,0.0
2015-16,2,6,99,23,0.0
2015-16,2,6,99,25,0.0
2015-16,2,6,99,24,0.0
2015-16,2,6,99,21,0.0
2015-16,2,6,99,27,0.0
2015-16,2,6,99,26,0.0
2015-16,2,6,99,15,0.0
2015-16,2,6,99,11,0.0
2015-16,2,6,99,17,0.0
2015-16,2,6,99,35,0.0
2015-16,2,6,99,34,0.0
2015-16,2,6,99,31,0.0
2015-16,2,6,99,37,0.0
2015-16,2,6,99,99,1.0
2015-16,2,7,11,22,0.0
2015-16,2,7,11,23,0.0
2015-16,2,7,11,25,0.0
2015-16,2,7,11,24,0.0
2015-16,2,7,11,21,0.0
2015-16,2,7,11,27,0.02
2015-16,2,7,11,26,0.2776
2015-16,2,7,11,15,0.0
2015-16,2,7,11,11,0.4885
2015-16,2,7,11,17,0.2007
2015-16,2,7,11,35,0.0
2015-16,2,7,11,34,0.0
2015-16,2,7,11,31,0.0104
2015-16,2,7,11,37,0.0
2015-16,2,7,11,99,0.0028
2015-16,2,7,15,22,0.0
2015-16,2,7,15,23,0.0
2015-16,2,7,15,25,0.0
2015-16,2,7,15,24,0.0
2015-16,2,7,15,21,0.0
2015-16,2,7,15,27,0.0
2015-16,2,7,15,26,0.2976
2015-16,2,7,15,15,0.6246
2015-16,2,7,15,11,0.0646
2015-16,2,7,15,17,0.0
2015-16,2,7,15,35,0.0104
2015-16,2,7,15,34,0.0
2015-16,2,7,15,31,0.0
2015-16,2,7,15,37,0.0
2015-16,2,7,15,99,0.0028
2015-16,2,7,17,22,0.0
2015-16,2,7,17,23,0.0
2015-16,2,7,17,25,0.0
2015-16,2,7,17,24,0.0
2015-16,2,7,17,21,0.0
2015-16,2,7,17,27,0.0369
2015-16,2,7,17,26,0.2607
2015-16,2,7,17,15,0.0
2015-16,2,7,17,11,0.1291
2015-16,2,7,17,17,0.5601
2015-16,2,7,17,35,0.0
2015-16,2,7,17,34,0.0
2015-16,2,7,17,31,0.0
2015-16,2,7,17,37,0.0104
2015-16,2,7,17,99,0.0028
2015-16,2,7,21,22,0.0
2015-16,2,7,21,23,0.0
2015-16,2,7,21,25,0.0
2015-16,2,7,21,24,0.0
2015-16,2,7,21,21,0.8686
2015-16,2,7,21,27,0.0
2015-16,2,7,21,26,0.0505
2015-16,2,7,21,15,0.0
2015-16,2,7,21,11,0.0
2015-16,2,7,21,17,0.0
2015-16,2,7,21,35,0.0
2015-16,2,7,21,34,0.0
2015-16,2,7,21,31,0.0796
2015-16,2,7,21,37,0.0
2015-16,2,7,21,99,0.0013
2015-16,2,7,24,22,0.0
2015-16,2,7,24,23,0.0
2015-16,2,7,24,25,0.0
2015-16,2,7,24,24,0.9191
2015-16,2,7,24,21,0.0
2015-16,2,7,24,27,0.0
2015-16,2,7,24,26,0.0
2015-16,2,7,24,15,0.0
2015-16,2,7,24,11,0.0
2015-16,2,7,24,17,0.0
2015-16,2,7,24,35,0.0
2015-16,2,7,24,34,0.0796
2015-16,2,7,24,31,0.0
2015-16,2,7,24,37,0.0
2015-16,2,7,24,99,0.0013
2015-16,2,7,26,22,0.0
2015-16,2,7,26,23,0.0
2015-16,2,7,26,25,0.0
2015-16,2,7,26,24,0.0155
2015-16,2,7,26,21,0.0
2015-16,2,7,26,27,0.0045
2015-16,2,7,26,26,0.8991
2015-16,2,7,26,15,0.0
2015-16,2,7,26,11,0.0
2015-16,2,7,26,17,0.0
2015-16,2,7,26,35,0.0054
2015-16,2,7,26,34,0.054
2015-16,2,7,26,31,0.0098
2015-16,2,7,26,37,0.0104
2015-16,2,7,26,99,0.0013
2015-16,2,7,27,22,0.0
2015-16,2,7,27,23,0.0
2015-16,2,7,27,25,0.0
2015-16,2,7,27,24,0.0
2015-16,2,7,27,21,0.0
2015-16,2,7,27,27,0.6772
2015-16,2,7,27,26,0.2419
2015-16,2,7,27,15,0.0
2015-16,2,7,27,11,0.0
2015-16,2,7,27,17,0.0
2015-16,2,7,27,35,0.0
2015-16,2,7,27,34,0.0
2015-16,2,7,27,31,0.0
2015-16,2,7,27,37,0.0796
2015-16,2,7,27,99,0.0013
2015-16,2,7,31,22,0.0
2015-16,2,7,31,23,0.0
2015-16,2,7,31,25,0.0
2015-16,2,7,31,24,0.0
2015-16,2,7,31,21,0.0
2015-16,2,7,31,27,0.0
2015-16,2,7,31,26,0.3808
2015-16,2,7,31,15,0.0
2015-16,2,7,31,11,0.0
2015-16,2,7,31,17,0.0
2015-16,2,7,31,35,0.0
2015-16,2,7,31,34,0.0
2015-16,2,7,31,31,0.6146
2015-16,2,7,31,37,0.0
2015-16,2,7,31,99,0.0046
2015-16,2,7,34,22,0.0
2015-16,2,7,34,23,0.0
2015-16,2,7,34,25,0.0
2015-16,2,7,34,24,0.0
2015-16,2,7,34,21,0.0
2015-16,2,7,34,27,0.0
2015-16,2,7,34,26,0.3808
2015-16,2,7,34,15,0.0
2015-16,2,7,34,11,0.0
2015-16,2,7,34,17,0.0
2015-16,2,7,34,35,0.0
2015-16,2,7,34,34,0.6146
2015-16,2,7,34,31,0.0
2015-16,2,7,34,37,0.0
2015-16,2,7,34,99,0.0046
2015-16,2,7,35,22,0.0
2015-16,2,7,35,23,0.0
2015-16,2,7,35,25,0.0
2015-16,2,7,35,24,0.0
2015-16,2,7,35,21,0.0
2015-16,2,7,35,27,0.0
2015-16,2,7,35,26,0.3808
2015-16,2,7,35,15,0.0
2015-16,2,7,35,11,0.0
2015-16,2,7,35,17,0.0
2015-16,2,7,35,35,0.4302
2015-16,2,7,35,34,0.0615
2015-16,2,7,35,31,0.0615
2015-16,2,7,35,37,0.0615
2015-16,2,7,35,99,0.0046
2015-16,2,7,37,22,0.0
2015-16,2,7,37,23,0.0
2015-16,2,7,37,25,0.0
2015-16,2,7,37,24,0.0
2015-16,2,7,37,21,0.0
2015-16,2,7,37,27,0.0
2015-16,2,7,37,26,0.3808
2015-16,2,7,37,15,0.0
2015-16,2,7,37,11,0.0
2015-16,2,7,37,17,0.0
2015-16,2,7,37,35,0.0
2015-16,2,7,37,34,0.0
2015-16,2,7,37,31,0.0
2015-16,2,7,37,37,0.6146
2015-16,2,7,37,99,0.0046
